shipment_id,date,origin,destination,distance_km,product_category,vehicle_type,packaging_quality,avg_speed_kmph,transit_duration_hr,ambient_temp_c,humidity_pct,effective_transit_temp_c,safe_temp_min_c,safe_temp_max_c,temp_excursion_hours,base_shelf_life_hr,remaining_shelf_life_hr,spoilage_risk
11,2024-02-14,Coimbatore,Kochi,190,Poultry & Meat,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),44.6,7.16,23.5,64,13.3,0,4,6.64,72,43.6,Low
12,2024-10-29,Kolkata,Patna,585,Seafood,Standard Truck,Basic,40.4,21.1,25.6,86,22.1,0,4,38.12,36,1.1,High
13,2024-08-04,Guwahati,Kolkata,1000,Seafood,Insulated Non-Refrigerated,Standard,38.1,32.96,28.1,82,21.5,0,4,57.7,36,0.0,High
14,2024-01-17,Vijayawada,Chennai,440,Tomatoes & Produce,Standard Truck,Standard,52.7,13.72,25.9,71,23.9,10,15,12.24,168,137.3,Low
15,2024-01-16,Pune,Bengaluru,840,Leafy Greens,Refrigerated Truck,Standard,43.3,22.68,24.9,47,13.8,1,4,22.18,96,0.0,High
16,2024-02-17,Kolkata,Patna,585,Bakery,Refrigerated Truck,Basic,40.0,20.61,19.2,65,19.3,10,20,0.0,48,29.4,Low
17,2024-04-21,Ahmedabad,Mumbai,525,Leafy Greens,Refrigerated Truck,Standard,51.1,14.73,31.1,48,12.5,1,4,12.54,96,43.5,Low
18,2024-04-29,Nagpur,Hyderabad,500,Bakery,Refrigerated Truck,Premium (Insulated + Gel Packs),43.3,16.1,33.7,41,18.2,10,20,0.0,48,33.5,Low
19,2024-09-15,Jaipur,Delhi,280,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,45.0,12.51,26.5,72,19.1,2,8,13.87,240,201.4,Low
20,2024-11-04,Ahmedabad,Mumbai,525,Poultry & Meat,Insulated Non-Refrigerated,Standard,51.7,12.47,28.5,55,20.9,0,4,21.13,72,7.7,High
21,2024-01-14,Coimbatore,Kochi,190,Bakery,Standard Truck,Standard,51.7,10.95,21.2,69,19.6,10,20,0.0,48,36.8,Low
22,2024-10-14,Nagpur,Hyderabad,500,Tomatoes & Produce,Insulated Non-Refrigerated,Standard,51.9,16.66,26.7,81,20.7,10,15,9.47,168,133.8,Low
23,2024-04-11,Coimbatore,Kochi,190,Tomatoes & Produce,Standard Truck,Standard,45.1,6.77,25.4,72,23.4,10,15,5.71,168,153.5,Low
24,2024-11-28,Indore,Bhopal,195,Leafy Greens,Insulated Non-Refrigerated,Standard,46.8,10.09,17.7,62,13.6,1,4,9.71,96,60.4,Low
25,2024-12-25,Nashik,Mumbai,180,Tomatoes & Produce,Standard Truck,Standard,54.4,6.07,24.6,64,20.8,10,15,3.55,168,157.2,Low
26,2024-10-06,Ooty,Chennai,565,Pharma (Vaccines),Refrigerated Truck,Standard,38.9,17.48,26.7,77,17.9,2,8,17.38,240,174.2,Low
27,2024-08-02,Ludhiana,Delhi,310,Milk & Dairy,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),40.5,12.09,28.9,84,19.5,2,8,13.92,48,1.9,High
28,2024-04-22,Ludhiana,Delhi,310,Frozen Goods,Refrigerated Truck,Standard,44.3,12.43,29.1,28,3.7,-20,-12,19.46,720,765.0,Low
29,2024-08-17,Nagpur,Hyderabad,500,Tomatoes & Produce,Standard Truck,Standard,39.5,19.49,26.3,87,23.5,10,15,16.48,168,128.5,Low
30,2024-10-28,Ludhiana,Delhi,310,Poultry & Meat,Refrigerated Truck,Basic,49.5,7.38,24.9,75,18.1,0,4,10.41,72,49.5,Low
31,2024-05-22,Coimbatore,Kochi,190,Milk & Dairy,Refrigerated Truck,Standard,49.0,6.1,21.6,98,11.5,2,8,2.16,48,28.2,Low
32,2024-01-04,Nashik,Mumbai,180,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,53.7,10.49,23.8,60,17.8,2,8,10.25,240,176.6,Low
33,2024-03-22,Coimbatore,Kochi,190,Frozen Goods,Standard Truck,Standard,51.9,8.55,24.0,73,17.3,-20,-12,25.02,720,695.2,Low
34,2024-12-23,Vijayawada,Chennai,440,Tomatoes & Produce,Standard Truck,Standard,43.8,13.5,26.1,84,25.4,10,15,14.05,168,130.2,Low
35,2024-08-04,Coimbatore,Kochi,190,Bakery,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),53.1,10.04,20.7,93,17.3,10,20,0.0,48,37.6,Low
36,2024-06-23,Vijayawada,Chennai,440,Frozen Goods,Refrigerated Truck,Standard,38.1,13.68,29.3,79,4.0,-20,-12,21.86,720,685.8,Low
37,2024-05-22,Guwahati,Kolkata,1000,Pharma (Vaccines),Insulated Non-Refrigerated,Basic,49.1,22.94,29.5,74,24.7,2,8,38.21,240,90.0,Medium
38,2024-03-20,Kolkata,Patna,585,Milk & Dairy,Standard Truck,Basic,49.0,18.87,21.2,78,19.2,2,8,21.22,48,4.6,High
39,2024-04-20,Vijayawada,Chennai,440,Poultry & Meat,Insulated Non-Refrigerated,Basic,39.6,14.69,29.8,89,24.6,0,4,30.2,72,0.0,High
40,2024-06-21,Vijayawada,Chennai,440,Milk & Dairy,Insulated Non-Refrigerated,Basic,53.2,13.69,30.6,73,27.2,2,8,26.25,48,3.5,High
41,2024-02-22,Vijayawada,Chennai,440,Poultry & Meat,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),47.8,13.65,27.5,86,16.8,0,4,17.44,72,19.9,Medium
42,2024-02-17,Indore,Bhopal,195,Leafy Greens,Refrigerated Truck,Standard,54.0,11.29,22.4,57,12.2,1,4,9.29,96,67.5,Low
43,2024-07-13,Guwahati,Kolkata,1000,Milk & Dairy,Standard Truck,Standard,38.3,33.63,29.0,82,26.7,2,8,62.85,48,0.0,High
44,2024-02-19,Coimbatore,Kochi,190,Milk & Dairy,Refrigerated Truck,Basic,52.5,6.84,23.6,60,16.8,2,8,5.99,48,20.9,Low
45,2024-07-02,Nagpur,Hyderabad,500,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),53.9,15.15,27.3,75,8.2,2,8,0.27,48,31.3,Low
46,2024-06-25,Vijayawada,Chennai,440,Bakery,Refrigerated Truck,Standard,52.9,14.5,30.0,76,20.5,10,20,0.77,48,31.2,Low
47,2024-11-05,Kolkata,Patna,585,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,44.1,16.32,24.0,75,18.9,2,8,17.82,240,165.9,Low
48,2024-05-15,Nashik,Mumbai,180,Frozen Goods,Insulated Non-Refrigerated,Standard,51.6,9.04,33.1,44,23.0,-20,-12,31.63,720,698.1,Low
49,2024-01-23,Indore,Bhopal,195,Frozen Goods,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),53.1,7.04,15.0,58,0.1,-20,-12,8.53,720,688.6,Low
50,2024-08-23,Ooty,Chennai,565,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),45.9,17.1,28.0,66,15.5,10,15,0.93,168,133.1,Low
51,2024-10-01,Ooty,Chennai,565,Tomatoes & Produce,Refrigerated Truck,Standard,38.5,15.93,27.8,69,19.0,10,15,6.33,168,136.6,Low
52,2024-03-04,Nagpur,Hyderabad,500,Milk & Dairy,Insulated Non-Refrigerated,Standard,51.1,12.3,28.4,47,20.1,2,8,14.86,48,4.5,High
53,2024-07-12,Nashik,Mumbai,180,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),38.9,9.35,24.8,95,11.3,2,8,3.12,48,21.4,Low
54,2024-02-10,Nagpur,Hyderabad,500,Pharma (Vaccines),Standard Truck,Standard,51.5,12.6,27.0,52,24.6,2,8,20.9,240,176.5,Low
55,2024-10-09,Ooty,Chennai,565,Milk & Dairy,Refrigerated Truck,Basic,38.4,22.44,26.0,82,20.9,2,8,29.03,48,0.0,High
56,2024-05-30,Guwahati,Kolkata,1000,Seafood,Insulated Non-Refrigerated,Basic,40.7,27.35,29.8,85,25.2,0,4,58.05,36,0.7,High
57,2024-11-17,Ahmedabad,Mumbai,525,Leafy Greens,Refrigerated Truck,Standard,49.2,13.63,26.8,59,16.2,1,4,16.66,96,22.9,Medium
58,2024-11-12,Indore,Bhopal,195,Pharma (Vaccines),Refrigerated Truck,Premium (Insulated + Gel Packs),44.1,10.73,23.1,59,7.9,2,8,0.0,240,237.5,Low
59,2024-07-04,Jaipur,Delhi,280,Seafood,Standard Truck,Premium (Insulated + Gel Packs),46.1,7.76,27.2,87,18.8,0,4,11.47,36,2.3,High
60,2024-10-22,Indore,Bhopal,195,Leafy Greens,Refrigerated Truck,Standard,44.8,9.67,25.2,74,11.4,1,4,7.2,96,71.7,Low
61,2024-04-08,Nagpur,Hyderabad,500,Poultry & Meat,Insulated Non-Refrigerated,Standard,44.4,16.65,30.8,35,23.6,0,4,32.56,72,0.0,High
62,2024-12-26,Jaipur,Delhi,280,Seafood,Standard Truck,Premium (Insulated + Gel Packs),39.2,12.64,14.4,80,12.7,0,4,11.03,36,0.0,High
63,2024-02-05,Indore,Bhopal,195,Tomatoes & Produce,Standard Truck,Standard,54.0,8.64,22.4,60,23.1,10,15,7.01,168,172.0,Low
64,2024-01-24,Ahmedabad,Mumbai,525,Bakery,Refrigerated Truck,Basic,54.0,13.42,22.0,40,17.8,10,20,0.0,48,32.3,Low
65,2024-12-04,Guwahati,Kolkata,1000,Poultry & Meat,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),39.2,28.74,20.0,80,11.2,0,4,20.67,72,1.3,High
66,2024-04-26,Nashik,Mumbai,180,Bakery,Refrigerated Truck,Standard,48.7,10.84,32.8,38,22.4,10,20,2.55,48,33.1,Low
67,2024-05-28,Jaipur,Delhi,280,Pharma (Vaccines),Standard Truck,Basic,42.8,8.78,39.2,10,38.0,2,8,26.39,240,140.0,Low
68,2024-02-10,Pune,Bengaluru,840,Poultry & Meat,Refrigerated Truck,Basic,44.3,25.39,28.2,30,21.3,0,4,43.83,72,0.0,High
69,2024-04-29,Guwahati,Kolkata,1000,Leafy Greens,Refrigerated Truck,Standard,52.6,23.02,33.1,56,17.6,1,4,31.23,96,6.3,High
70,2024-02-21,Ooty,Chennai,565,Tomatoes & Produce,Standard Truck,Basic,43.4,20.27,28.4,59,27.5,10,15,25.29,168,104.6,Low
71,2024-07-13,Ahmedabad,Mumbai,525,Seafood,Insulated Non-Refrigerated,Basic,54.2,14.71,27.5,87,22.7,0,4,27.49,36,0.0,High
72,2024-05-22,Kolkata,Patna,585,Frozen Goods,Insulated Non-Refrigerated,Basic,49.4,18.1,27.7,82,19.7,-20,-12,57.36,720,659.1,Low
73,2024-08-20,Vijayawada,Chennai,440,Bakery,Refrigerated Truck,Standard,39.6,15.59,29.0,81,21.5,10,20,2.39,48,34.4,Low
74,2024-11-21,Kolkata,Patna,585,Frozen Goods,Refrigerated Truck,Basic,44.0,15.13,23.4,50,12.6,-20,-12,37.19,720,646.7,Low
75,2024-07-05,Kolkata,Patna,585,Milk & Dairy,Standard Truck,Premium (Insulated + Gel Packs),48.5,13.77,27.4,88,23.7,2,8,21.56,48,0.0,High
76,2024-03-24,Nashik,Mumbai,180,Bakery,Refrigerated Truck,Premium (Insulated + Gel Packs),39.4,12.47,29.3,43,18.0,10,20,0.0,48,36.1,Low
77,2024-07-08,Nagpur,Hyderabad,500,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,51.8,17.28,26.1,87,18.9,2,8,18.85,240,168.3,Low
78,2024-06-30,Coimbatore,Kochi,190,Pharma (Vaccines),Insulated Non-Refrigerated,Basic,45.2,11.55,20.9,97,20.3,2,8,14.19,240,166.4,Low
79,2024-04-17,Jaipur,Delhi,280,Leafy Greens,Insulated Non-Refrigerated,Basic,38.2,11.61,28.8,28,25.2,1,4,24.67,96,40.6,Low
80,2024-12-09,Jaipur,Delhi,280,Bakery,Insulated Non-Refrigerated,Standard,54.4,8.78,12.9,61,15.4,10,20,0.0,48,36.9,Low
81,2024-05-16,Ahmedabad,Mumbai,525,Frozen Goods,Insulated Non-Refrigerated,Basic,41.8,20.3,34.1,53,26.9,-20,-12,78.88,720,632.0,Low
82,2024-12-25,Vijayawada,Chennai,440,Milk & Dairy,Refrigerated Truck,Standard,54.5,12.74,25.9,86,13.7,2,8,7.24,48,6.5,High
83,2024-12-15,Pune,Bengaluru,840,Bakery,Refrigerated Truck,Basic,45.7,23.76,22.5,63,21.5,10,20,3.62,48,24.0,Low
84,2024-11-27,Ludhiana,Delhi,310,Frozen Goods,Refrigerated Truck,Basic,42.7,9.57,16.0,74,6.4,-20,-12,17.61,720,686.0,Low
85,2024-02-06,Jaipur,Delhi,280,Poultry & Meat,Standard Truck,Premium (Insulated + Gel Packs),47.9,7.39,11.9,72,10.5,0,4,4.82,72,47.0,Low
86,2024-11-07,Coimbatore,Kochi,190,Frozen Goods,Refrigerated Truck,Standard,49.6,5.97,21.4,86,0.5,-20,-12,7.46,720,773.7,Low
87,2024-11-21,Vijayawada,Chennai,440,Seafood,Refrigerated Truck,Basic,53.9,15.23,27.7,59,22.2,0,4,27.69,36,0.0,High
88,2024-03-28,Jaipur,Delhi,280,Pharma (Vaccines),Refrigerated Truck,Standard,54.5,12.03,30.0,36,18.1,2,8,12.18,240,207.5,Low
89,2024-09-30,Indore,Bhopal,195,Bakery,Refrigerated Truck,Premium (Insulated + Gel Packs),45.1,7.24,25.8,83,17.1,10,20,0.0,48,39.3,Low
90,2024-05-05,Vijayawada,Chennai,440,Tomatoes & Produce,Refrigerated Truck,Premium (Insulated + Gel Packs),45.7,11.54,30.4,88,16.6,10,15,1.9,168,155.6,Low
91,2024-03-24,Ooty,Chennai,565,Tomatoes & Produce,Refrigerated Truck,Standard,41.9,19.19,29.0,57,18.2,10,15,6.24,168,134.2,Low
92,2024-08-24,Pune,Bengaluru,840,Poultry & Meat,Refrigerated Truck,Standard,46.8,24.34,23.4,89,10.9,0,4,16.9,72,0.2,High
93,2024-07-13,Vijayawada,Chennai,440,Poultry & Meat,Insulated Non-Refrigerated,Basic,47.4,14.21,28.3,82,24.1,0,4,28.51,72,2.3,High
94,2024-05-18,Nashik,Mumbai,180,Pharma (Vaccines),Insulated Non-Refrigerated,Basic,50.0,6.09,32.3,58,29.8,2,8,13.31,240,162.2,Low
95,2024-11-23,Nashik,Mumbai,180,Frozen Goods,Insulated Non-Refrigerated,Basic,44.7,8.09,24.9,52,18.4,-20,-12,24.63,720,739.0,Low
96,2024-12-18,Ludhiana,Delhi,310,Leafy Greens,Insulated Non-Refrigerated,Standard,44.7,12.28,11.8,79,9.1,1,4,6.26,96,78.0,Low
97,2024-10-12,Kolkata,Patna,585,Milk & Dairy,Standard Truck,Premium (Insulated + Gel Packs),45.8,20.63,26.6,75,20.2,2,8,25.23,48,0.0,High
98,2024-04-22,Ludhiana,Delhi,310,Pharma (Vaccines),Insulated Non-Refrigerated,Standard,39.3,9.79,29.1,28,22.7,2,8,14.37,240,171.6,Low
99,2024-12-16,Ahmedabad,Mumbai,525,Seafood,Refrigerated Truck,Basic,41.1,16.2,21.5,55,16.2,0,4,19.69,36,0.0,High
100,2024-06-15,Nashik,Mumbai,180,Seafood,Standard Truck,Standard,41.3,5.65,26.9,83,24.5,0,4,11.59,36,0.0,High
101,2024-01-29,Ooty,Chennai,565,Seafood,Refrigerated Truck,Standard,41.0,15.4,24.6,64,12.3,0,4,12.73,36,0.0,High
102,2024-04-27,Ooty,Chennai,565,Leafy Greens,Refrigerated Truck,Standard,46.6,17.97,32.0,52,14.6,1,4,19.1,96,43.0,Low
103,2024-01-17,Nashik,Mumbai,180,Frozen Goods,Standard Truck,Premium (Insulated + Gel Packs),52.9,10.85,21.8,57,14.9,-20,-12,29.15,720,706.8,Low
104,2024-06-10,Coimbatore,Kochi,190,Seafood,Standard Truck,Basic,41.1,7.08,21.0,95,20.8,0,4,11.88,36,0.0,High
105,2024-07-24,Kolkata,Patna,585,Seafood,Standard Truck,Basic,48.5,15.64,28.1,86,28.5,0,4,38.33,36,1.0,High
106,2024-05-17,Guwahati,Kolkata,1000,Bakery,Standard Truck,Standard,46.7,26.14,33.4,53,31.6,10,20,30.23,48,0.0,High
107,2024-02-03,Guwahati,Kolkata,1000,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),47.1,23.95,18.8,69,4.7,1,4,1.65,96,73.5,Low
108,2024-04-18,Nashik,Mumbai,180,Pharma (Vaccines),Refrigerated Truck,Basic,40.0,11.73,32.9,56,24.1,2,8,18.85,240,157.0,Low
109,2024-10-17,Ooty,Chennai,565,Tomatoes & Produce,Refrigerated Truck,Basic,51.4,15.48,26.0,78,22.4,10,15,11.53,168,153.3,Low
110,2024-06-10,Nashik,Mumbai,180,Poultry & Meat,Insulated Non-Refrigerated,Standard,45.3,5.86,26.0,89,19.4,0,4,9.06,72,42.5,Low
111,2024-04-18,Ooty,Chennai,565,Milk & Dairy,Insulated Non-Refrigerated,Standard,49.0,16.53,33.1,45,23.0,2,8,24.78,48,0.0,High
112,2024-12-01,Ahmedabad,Mumbai,525,Pharma (Vaccines),Refrigerated Truck,Basic,41.2,15.75,23.0,52,17.6,2,8,15.05,240,168.5,Low
113,2024-09-12,Pune,Bengaluru,840,Milk & Dairy,Insulated Non-Refrigerated,Standard,45.0,26.55,25.2,74,18.9,2,8,28.82,48,0.0,High
114,2024-07-21,Ahmedabad,Mumbai,525,Leafy Greens,Refrigerated Truck,Basic,40.9,18.52,28.0,87,22.0,1,4,33.37,96,3.6,High
115,2024-11-25,Nashik,Mumbai,180,Bakery,Insulated Non-Refrigerated,Standard,47.7,6.73,25.2,43,21.3,10,20,0.91,48,37.4,Low
116,2024-08-22,Ooty,Chennai,565,Leafy Greens,Refrigerated Truck,Basic,46.6,14.81,27.1,69,18.3,1,4,21.17,96,22.0,Medium
117,2024-03-14,Guwahati,Kolkata,1000,Seafood,Standard Truck,Premium (Insulated + Gel Packs),42.9,28.38,25.5,68,21.2,0,4,48.78,36,0.0,High
118,2024-05-15,Indore,Bhopal,195,Poultry & Meat,Insulated Non-Refrigerated,Standard,43.7,6.4,31.3,38,22.6,0,4,11.88,72,25.1,Medium
119,2024-03-12,Guwahati,Kolkata,1000,Bakery,Refrigerated Truck,Premium (Insulated + Gel Packs),42.3,29.4,24.2,55,17.4,10,20,0.0,48,3.4,High
120,2024-05-06,Nashik,Mumbai,180,Milk & Dairy,Refrigerated Truck,Standard,43.9,11.6,31.3,52,16.1,2,8,9.45,48,6.4,High
121,2024-10-14,Indore,Bhopal,195,Frozen Goods,Refrigerated Truck,Basic,54.0,5.88,24.8,84,13.9,-20,-12,15.23,720,739.2,Low
122,2024-10-02,Nagpur,Hyderabad,500,Tomatoes & Produce,Insulated Non-Refrigerated,Standard,40.4,18.95,27.5,83,23.3,10,15,15.74,168,125.0,Low
123,2024-05-14,Ludhiana,Delhi,310,Frozen Goods,Standard Truck,Standard,40.8,14.3,32.6,21,27.1,-20,-12,55.94,720,657.2,Low
124,2024-10-26,Jaipur,Delhi,280,Tomatoes & Produce,Refrigerated Truck,Standard,44.7,12.98,25.4,60,18.0,10,15,3.95,168,149.1,Low
125,2024-08-07,Indore,Bhopal,195,Milk & Dairy,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),45.9,7.36,26.3,78,16.7,2,8,6.43,48,14.2,Medium
126,2024-10-25,Pune,Bengaluru,840,Seafood,Standard Truck,Standard,44.5,23.67,23.8,73,20.9,0,4,40.05,36,1.4,High
127,2024-07-23,Jaipur,Delhi,280,Bakery,Insulated Non-Refrigerated,Basic,40.0,14.58,31.9,69,27.6,10,20,11.07,48,13.8,Medium
128,2024-07-04,Guwahati,Kolkata,1000,Frozen Goods,Standard Truck,Standard,48.5,25.34,27.3,88,21.6,-20,-12,85.14,720,617.7,Low
129,2024-04-22,Kolkata,Patna,585,Poultry & Meat,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),40.6,17.6,32.6,24,19.8,0,4,27.85,72,0.3,High
130,2024-03-11,Coimbatore,Kochi,190,Milk & Dairy,Insulated Non-Refrigerated,Basic,51.0,10.87,24.5,70,21.0,2,8,14.13,48,0.0,High
131,2024-09-17,Jaipur,Delhi,280,Seafood,Insulated Non-Refrigerated,Standard,39.9,13.95,27.0,70,19.2,0,4,21.16,36,0.0,High
132,2024-09-09,Pune,Bengaluru,840,Seafood,Insulated Non-Refrigerated,Basic,41.9,26.1,24.9,78,21.9,0,4,46.77,36,2.4,High
133,2024-02-16,Kolkata,Patna,585,Pharma (Vaccines),Refrigerated Truck,Premium (Insulated + Gel Packs),49.8,16.55,20.3,69,7.0,2,8,0.0,240,205.9,Low
134,2024-01-25,Nashik,Mumbai,180,Frozen Goods,Refrigerated Truck,Standard,45.9,11.56,23.8,37,4.1,-20,-12,18.61,720,649.4,Low
135,2024-02-26,Indore,Bhopal,195,Leafy Greens,Refrigerated Truck,Standard,46.6,9.46,22.1,52,11.6,1,4,7.24,96,67.2,Low
136,2024-03-19,Jaipur,Delhi,280,Frozen Goods,Refrigerated Truck,Premium (Insulated + Gel Packs),50.0,7.67,22.8,38,-8.4,-20,-12,2.79,720,754.0,Low
137,2024-11-17,Pune,Bengaluru,840,Poultry & Meat,Refrigerated Truck,Basic,45.2,24.73,25.1,65,17.7,0,4,33.83,72,0.2,High
138,2024-03-22,Vijayawada,Chennai,440,Tomatoes & Produce,Refrigerated Truck,Standard,48.1,12.95,28.0,79,20.9,10,15,7.7,168,139.6,Low
139,2024-12-14,Nagpur,Hyderabad,500,Seafood,Refrigerated Truck,Basic,51.6,10.71,19.6,51,13.6,0,4,10.32,36,11.0,Medium
140,2024-08-04,Ooty,Chennai,565,Milk & Dairy,Standard Truck,Premium (Insulated + Gel Packs),43.9,16.3,28.4,65,24.3,2,8,26.53,48,4.0,High
141,2024-11-01,Jaipur,Delhi,280,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),41.8,10.86,25.7,51,6.6,1,4,2.84,96,66.4,Low
142,2024-02-02,Coimbatore,Kochi,190,Seafood,Insulated Non-Refrigerated,Standard,53.6,7.08,23.3,63,16.8,0,4,9.1,36,2.0,High
143,2024-07-16,Nagpur,Hyderabad,500,Pharma (Vaccines),Standard Truck,Premium (Insulated + Gel Packs),38.2,18.73,25.7,90,21.7,2,8,25.56,240,194.2,Low
144,2024-07-14,Nagpur,Hyderabad,500,Tomatoes & Produce,Standard Truck,Premium (Insulated + Gel Packs),39.1,19.02,25.8,88,23.5,10,15,16.13,168,119.7,Low
145,2024-11-01,Ahmedabad,Mumbai,525,Frozen Goods,Refrigerated Truck,Standard,41.5,14.99,27.9,61,4.2,-20,-12,24.21,720,662.0,Low
146,2024-08-27,Jaipur,Delhi,280,Seafood,Standard Truck,Basic,51.2,9.64,26.1,88,24.8,0,4,20.04,36,2.0,High
147,2024-09-27,Guwahati,Kolkata,1000,Seafood,Standard Truck,Standard,44.8,27.23,26.9,89,23.5,0,4,53.11,36,0.0,High
148,2024-05-08,Nagpur,Hyderabad,500,Frozen Goods,Refrigerated Truck,Standard,48.9,14.08,30.9,51,4.6,-20,-12,23.42,720,723.4,Low
149,2024-10-10,Ludhiana,Delhi,310,Tomatoes & Produce,Standard Truck,Basic,38.5,10.61,26.1,51,26.2,10,15,11.83,168,142.3,Low
150,2024-01-06,Coimbatore,Kochi,190,Seafood,Standard Truck,Basic,49.1,6.54,20.8,88,20.3,0,4,10.63,36,0.0,High
151,2024-12-14,Jaipur,Delhi,280,Leafy Greens,Refrigerated Truck,Standard,50.3,12.56,12.3,52,6.6,1,4,3.23,96,65.3,Low
152,2024-02-28,Jaipur,Delhi,280,Frozen Goods,Insulated Non-Refrigerated,Standard,43.0,13.79,17.0,56,7.8,-20,-12,27.36,720,633.8,Low
153,2024-12-15,Kolkata,Patna,585,Frozen Goods,Insulated Non-Refrigerated,Standard,45.2,20.2,16.2,58,5.9,-20,-12,36.19,720,629.7,Low
154,2024-10-01,Coimbatore,Kochi,190,Bakery,Refrigerated Truck,Standard,48.0,6.83,22.0,88,16.5,10,20,0.0,48,47.0,Low
155,2024-05-16,Guwahati,Kolkata,1000,Milk & Dairy,Refrigerated Truck,Basic,47.4,25.16,32.3,57,25.2,2,8,43.22,48,0.0,High
156,2024-11-24,Coimbatore,Kochi,190,Seafood,Insulated Non-Refrigerated,Standard,52.8,8.01,21.3,78,16.0,0,4,9.61,36,0.3,High
157,2024-06-23,Ahmedabad,Mumbai,525,Tomatoes & Produce,Standard Truck,Standard,45.2,12.76,29.9,83,28.2,10,15,16.83,168,132.0,Low
158,2024-02-27,Indore,Bhopal,195,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),40.4,11.67,22.9,66,7.3,1,4,3.82,96,76.7,Low
159,2024-05-30,Coimbatore,Kochi,190,Frozen Goods,Refrigerated Truck,Premium (Insulated + Gel Packs),40.9,7.55,22.2,95,-8.5,-20,-12,2.64,720,721.8,Low
160,2024-08-10,Indore,Bhopal,195,Frozen Goods,Insulated Non-Refrigerated,Standard,49.1,10.78,24.9,89,10.6,-20,-12,24.35,720,715.4,Low
161,2024-03-21,Ahmedabad,Mumbai,525,Frozen Goods,Standard Truck,Standard,48.2,16.55,29.7,38,22.0,-20,-12,56.27,720,649.2,Low
162,2024-08-20,Ahmedabad,Mumbai,525,Milk & Dairy,Refrigerated Truck,Premium (Insulated + Gel Packs),40.8,19.03,28.4,85,9.5,2,8,2.81,48,17.6,Medium
163,2024-01-02,Jaipur,Delhi,280,Leafy Greens,Insulated Non-Refrigerated,Premium (Insulated + Gel Packs),42.2,10.36,9.1,91,5.0,1,4,1.06,96,80.8,Low
164,2024-05-14,Indore,Bhopal,195,Leafy Greens,Standard Truck,Basic,47.6,8.43,31.1,37,30.6,1,4,22.46,96,27.8,Medium
165,2024-09-13,Ooty,Chennai,565,Leafy Greens,Refrigerated Truck,Premium (Insulated + Gel Packs),50.5,13.7,29.7,51,7.0,1,4,4.08,96,84.2,Low
